"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"bugs"
"139";"org.eclipse.jdt.internal.codeassist";0;0;9;0;0;0;1;8;0;0;0;-1;0;0;0;1;0;0;0;-1;1;-1;0;0;2
"140";"org.eclipse.swt.internal.carbon";0;0;30;0;6;1;8;22;47;0;0;224;47;0;6;12;6;0;6;224;18;224;1;1;1
"141";"org.eclipse.ui.internal.ide.update";0;0;3;0;0;0;0;3;0;0;0;-1;0;100;0;0;0;0;0;-1;0;-1;0;2;0
"142";"org.eclipse.update.internal.ui.model";0;0;7;0;0;0;0;7;0;0;0;-1;0;0;0;2;0;0;0;-1;2;-1;0;0;0
"143";"com.sun.jdi";0;0;3;0;0;0;0;3;0;0;0;-1;0;160;0;1;0;0;0;-1;1;-1;0;3;0
"144";"org.eclipse.jface.viewers.deferred";0;0;4;0;0;0;0;4;0;0;0;-1;0;0;0;1;0;0;0;-1;1;-1;0;0;0
"145";"org.eclipse.ui.texteditor.quickdiff";0;0;7;0;0;0;2;5;0;0;0;-1;0;0;0;0;1;0;0;-1;1;-1;0;0;0
"146";"org.eclipse.swt.internal.motif";0;0;13;0;0;0;0;13;1587;0;1;50;1587;62;9;9;0;9;9;50;9;50;1;2;0
"147";"org.eclipse.core.internal.model";0;0;4;0;0;0;0;4;0;0;0;-1;0;8;0;1;0;0;0;-1;1;-1;0;1;0
"148";"org.eclipse.ant.internal.core";0;0;3;0;0;0;0;3;0;0;0;-1;0;39;0;0;0;0;0;-1;0;-1;0;1;1
"149";"org.eclipse.swt.internal.ole.win32";0;0;4;0;0;0;0;4;0;0;0;-1;0;105;0;1;0;0;0;-1;1;-1;0;2;0
"150";"org.eclipse.update.internal.ui";0;0;9;0;0;0;4;5;0;0;0;-1;0;0;0;0;2;0;0;-1;2;-1;0;0;1
"151";"org.eclipse.swt.events";0;0;3;0;0;0;0;3;0;0;0;-1;0;36;0;1;0;0;0;-1;1;-1;0;1;1
"152";"org.eclipse.jdt.internal.ui.text.template.preferences";0;0;4;0;0;0;1;3;0;0;0;-1;0;56;0;1;1;0;0;-1;2;-1;0;3;0
